Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
7017,A,Pc,Douvikas,Como,16,8,8,15,7,8,16,13
6669,A,Pc,Bonny,Inter,16,5,11,16,5,11,58,55
309,A,A,Dybala,Roma,16,26,-10,17,27,-10,99,99
2499,A,Pc,Vardy,Cremonese,16,15,1,16,15,1,47,44
6646,A,A,Adams C.,Torino,15,14,1,15,14,1,27,27
6552,A,Pc,Orban G.,Verona,15,15,0,15,15,0,37,34
4728,A,A,Nkunku,Milan,15,20,-5,15,20,-5,22,22
7008,A,Pc,Gimenez,Milan,14,25,-11,14,25,-11,30,27
6365,A,Pc,Ferguson E.,Roma,14,19,-5,14,19,-5,33,30
7127,A,W;A,Addai,Como,13,7,6,13,7,6,26,29
505,A,A,Bonazzoli,Cremonese,13,1,12,13,1,12,29,29
7120,A,A,Lang,Napoli,13,19,-6,13,20,-7,23,23
6145,A,A,Ngonge,Torino,13,9,4,13,9,4,16,16
7162,A,A,Giovane,Verona,13,1,12,13,1,12,36,36
5918,A,A,Sulemana K.,Atalanta,12,9,3,12,9,3,20,20
6243,A,Pc,Borrelli,Cagliari,12,5,7,11,4,7,31,28
4463,A,A,Esposito Se.,Cagliari,12,7,5,12,7,5,41,41
7071,A,Pc,Esposito F.P.,Inter,12,7,5,12,7,5,20,17
5672,A,Pc,Dia,Lazio,12,20,-8,12,20,-8,20,17
6643,A,Pc,Dallinga,Bologna,11,10,1,11,10,1,22,19
5455,A,A,Moreo,Pisa,11,5,6,11,5,6,22,22
441,A,Pc,Belotti,Cagliari,11,12,-1,10,11,-1,30,30
785,A,Pc,Immobile,Bologna,10,19,-9,10,19,-9,35,32
4359,A,Pc,Piccoli,Fiorentina,10,17,-7,10,17,-7,19,16
2155,A,Pc,Cutrone,Parma,10,10,0,10,10,0,18,15
5500,A,W;A,Cancellieri,Lazio,10,3,7,10,3,7,29,32
7001,A,W;A,N'Dri,Lecce,10,5,5,10,5,5,10,12
608,A,Pc,Zapata D.,Torino,10,20,-10,10,20,-10,15,12
7249,A,Pc,Buksa,Udinese,10,9,1,10,9,1,14,11
6967,A,W;A,Diao,Como,9,17,-8,9,18,-9,21,24
6519,A,Pc,Camarda,Lecce,9,12,-3,9,12,-3,13,10
6215,A,Pc,Lucca,Napoli,9,15,-6,9,14,-5,18,15
313,A,Pc,Morata,Como,9,18,-9,9,18,-9,18,15
7128,A,W;A,Kuhn,Como,8,14,-6,8,15,-7,12,15
7129,A,W;A,Rodriguez Je.,Como,8,5,3,8,5,3,23,26
647,A,Pc,Dzeko,Fiorentina,8,15,-7,8,15,-7,12,10
6822,A,A,Ekhator,Genoa,8,1,7,8,1,7,11,11
5506,A,A,Ekuban,Genoa,8,2,6,8,2,6,11,11
6164,A,Pc,Vitinha O.,Genoa,8,12,-4,7,11,-4,22,19
2489,A,A,Pedro,Lazio,8,13,-5,8,13,-5,14,14
5297,A,A,Luvumbo,Cagliari,7,12,-5,7,12,-5,10,10
6556,A,A,Noslin,Lazio,7,7,0,7,7,0,7,7
7252,A,Pc,Stulic,Lecce,7,13,-6,7,13,-6,16,13
6895,A,W;A,Dominguez B.,Bologna,6,9,-3,6,9,-3,15,18
5512,A,Pc,De Luca,Cremonese,6,8,-2,5,7,-2,3,3
4923,A,Pc,Colombo,Genoa,6,12,-6,6,11,-5,21,18
6667,A,A,Benedyczak,Parma,6,1,5,6,1,5,10,10
6836,A,Pc,Meister,Pisa,6,2,4,6,2,4,14,11
6630,A,Pc,Mosquera,Verona,6,6,0,6,6,0,10,10
6001,A,W;A,Banda,Lecce,5,5,0,5,5,0,8,10
6207,A,W;A,Almqvist,Parma,5,4,1,5,4,1,10,13
6653,A,A,Bravo,Udinese,5,6,-1,5,6,-1,12,12
7161,A,Pc,Bayo V.,Udinese,5,4,1,5,4,1,10,10
6159,A,A,Sarr A.,Verona,5,8,-3,5,8,-3,9,9
6439,A,Pc,Cheddira,Sassuolo,5,4,1,5,4,1,8,8
5496,A,A,Johnsen,Cremonese,4,7,-3,4,7,-3,8,8
479,A,Pc,Sanabria,Cremonese,4,7,-3,4,6,-2,11,10
7183,A,A,Aboukhlal,Torino,4,9,-5,4,9,-5,9,9
5515,A,A,Okereke,Cremonese,3,5,-2,3,5,-2,3,3
5471,A,Pc,Djuric,Parma,3,9,-6,3,8,-5,7,7
1842,A,A,Pierini,Sassuolo,3,5,-2,3,5,-2,8,8
7199,A,A,Kilicsoy,Cagliari,3,6,-3,3,6,-3,9,9
6555,A,Pc,Moumbagna,Cremonese,3,6,-3,3,6,-3,9,9
247,A,Pc,Pavoletti,Cagliari,2,1,1,2,1,1,3,3
7213,A,Pc,Frigan,Parma,2,7,-5,1,6,-5,7,7
7264,A,Pc,Ambrosino,Napoli,2,1,1,2,1,1,1,1
2012,A,Pc,Milik,Juventus,1,1,0,1,1,0,5,3
7171,A,A,Buffon L.,Pisa,1,1,0,1,1,0,1,1
7158,A,Pc,Moro L.,Sassuolo,1,1,0,1,1,0,1,1
7159,A,Pc,Skjellerup,Sassuolo,1,1,0,1,1,0,1,1
6827,A,A,Njie,Torino,1,1,0,1,1,0,2,2
7262,A,A,Balentien,Milan,1,1,0,1,1,0,1,1
7272,A,Pc,Gueye,Udinese,1,1,0,1,1,0,1,1
7277,A,Pc,Arena A.,Roma,1,1,0,1,1,0,1,1
