Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
5526,D,Dc,Scalvini,Atalanta,8,8,0,8,8,0,14,14
554,D,E,Zappacosta,Atalanta,8,13,-5,8,12,-4,22,22
7125,D,Ds;E,Idrissi R.,Cagliari,8,3,5,8,3,5,5,5
5831,D,Dc,Gatti,Juventus,8,8,0,8,8,0,22,22
460,D,Dc,Romagnoli,Lazio,8,8,0,8,8,0,23,24
4317,D,Dc,N'Dicka,Roma,8,10,-2,8,10,-2,27,27
4772,D,E,Angelino,Roma,8,15,-7,7,14,-7,15,15
7220,D,Dd;E,Belghali,Verona,8,4,4,8,4,4,22,22
6066,D,Dd;Dc,Posch,Como,7,5,2,7,6,1,8,11
612,D,Dc,Bianchetti,Cremonese,7,3,4,7,3,4,12,12
513,D,Dc,Acerbi,Inter,7,9,-2,7,9,-2,23,23
4502,D,Ds;E,Gallo,Lecce,7,5,2,7,5,2,13,13
4751,D,Dc,Tomori,Milan,7,8,-1,7,8,-1,27,27
6496,D,Ds;E,Bartesaghi,Milan,7,3,4,7,3,4,15,15
5527,D,Dd;E,Zanoli,Udinese,7,3,4,7,3,4,16,16
2273,D,Dc,Caracciolo A.,Pisa,7,4,3,7,4,3,12,12
7143,D,Ds;E,Angori,Pisa,7,5,2,7,5,2,11,11
4374,D,Dd;Dc,Walukiewicz,Sassuolo,7,5,2,8,6,2,10,12
5555,D,Ds;E,Kamara H.,Udinese,7,7,0,7,7,0,15,15
7255,D,Dd;Ds;E,Britschgi,Parma,7,1,6,7,1,6,19,22
6046,D,Dc,Hien,Atalanta,6,11,-5,6,11,-5,24,24
5578,D,Dd;Dc,Kossounou,Atalanta,6,9,-3,6,9,-3,11,13
6916,D,B;Ds;E,Ahanor,Atalanta,6,6,0,7,7,0,12,15
4461,D,B;Dd;E,Zappa,Cagliari,6,6,0,6,7,-1,11,14
6013,D,Dd;Ds;E,Barbieri,Cremonese,6,3,3,6,4,2,8,9
5885,D,E,Dodò,Fiorentina,6,11,-5,6,10,-4,25,25
6814,D,Dd;E,Norton-Cuffy,Genoa,6,3,3,6,3,3,19,19
6039,D,B;Ds;E,Cabal,Juventus,6,5,1,6,5,1,13,15
2728,D,Ds;E,Pellegrini Lu.,Lazio,6,3,3,6,3,3,11,11
5620,D,Ds;E,Tavares N.,Lazio,6,12,-6,6,12,-6,20,20
6632,D,Dc,Gaspar K.,Lecce,6,8,-2,6,8,-2,16,16
4409,D,Dc,Rrahmani,Napoli,6,11,-5,6,11,-5,32,32
5307,D,Dc,Valenti,Parma,6,4,2,6,4,2,6,6
7139,D,Dc,Canestrelli,Pisa,6,3,3,6,3,3,13,13
5010,D,Dc,Ismajli,Torino,6,8,-2,6,8,-2,12,12
4385,D,Dd;E,Lazaro,Torino,6,7,-1,6,7,-1,13,13
6485,D,Dd;Dc,Kristensen T.,Udinese,6,5,1,6,5,1,10,12
5532,D,Ds;E,Bradaric,Verona,6,4,2,6,4,2,12,12
787,D,Dc,Djimsiti,Atalanta,5,8,-3,5,8,-3,14,14
7130,D,Dc,Folino,Cremonese,5,4,1,5,4,1,5,5
7069,D,E,Fortini,Fiorentina,5,3,2,5,3,2,10,10
322,D,Dc,De Vrij,Inter,5,9,-4,5,9,-4,15,15
6990,D,Dd;E,Veiga D.,Lecce,5,1,4,5,1,4,16,16
5273,D,Ds;E,Estupinan,Milan,5,11,-6,5,11,-6,18,18
5840,D,Ds;E,Olivera,Napoli,5,10,-5,5,10,-5,10,10
6986,D,B;Dd;E,Rensch,Roma,5,5,0,6,6,0,9,11
5851,D,Ds;E,Doig,Sassuolo,5,6,-1,5,6,-1,12,12
6426,D,Dd;E,Pedersen,Torino,5,4,1,5,4,1,10,10
5820,D,Dc,Bertola,Udinese,5,6,-1,5,6,-1,10,10
6894,D,Dc,Unai Nunez,Verona,5,5,0,5,5,0,12,12
7018,D,Dc,Nelsson,Verona,5,5,0,5,5,0,12,12
7253,D,Dc,Bella-Kotchap,Verona,5,6,-1,5,6,-1,11,11
388,D,Dc,Albiol,Pisa,5,5,0,5,5,0,12,12
6444,D,Dc,Bonfanti,Pisa,4,2,2,4,2,2,8,8
7068,D,Dc,Vitik,Bologna,4,8,-4,4,8,-4,11,11
5701,D,Ds;Dc,Obert,Cagliari,4,4,0,4,4,0,12,15
7131,D,Dd;E,Floriani Mussolini,Cremonese,4,5,-1,4,5,-1,9,9
770,D,Ds;E,Pezzella Giu.,Cremonese,4,5,-1,4,5,-1,12,12
6495,D,Dc,Comuzzo,Fiorentina,4,7,-3,4,7,-3,8,8
4904,D,Dc,Marì,Fiorentina,4,7,-3,4,7,-3,11,11
5603,D,Dc,Pongracic,Fiorentina,4,5,-1,4,5,-1,14,14
5739,D,Dd;Dc,De Winter,Milan,4,8,-4,4,9,-5,9,12
6217,D,Dc,Bisseck,Inter,4,9,-5,4,9,-5,10,10
7175,D,E,Joao Mario,Juventus,4,8,-4,4,7,-3,10,10
7012,D,Dc,Provstgaard,Lazio,4,3,1,4,3,1,10,10
2263,D,Dd;E,Lazzari,Lazio,4,4,0,4,4,0,8,8
256,D,Ds;Dc,Juan Jesus,Napoli,4,3,1,4,3,1,14,17
2745,D,B;Dd;E,Calabresi,Pisa,4,3,1,5,4,1,7,9
7155,D,Dc,Muharemovic,Sassuolo,4,5,-1,4,5,-1,11,11
252,D,Ds;E,Biraghi,Torino,4,8,-4,4,8,-4,5,5
6047,D,Dd;E,Ehizibue,Udinese,4,5,-1,4,5,-1,9,9
6957,D,Dc,Valentini N.,Verona,4,4,0,4,4,0,10,10
6639,D,Ds;E,Frese,Verona,4,3,1,4,3,1,9,9
6537,D,Dd;Dc,Goglichidze,Udinese,4,4,0,4,4,0,10,12
6985,D,Ds;Dc,Candè,Sassuolo,4,6,-2,4,6,-2,6,8
7211,D,Dd;E,Athekame,Milan,4,6,-2,4,6,-2,9,9
5427,D,Ds;E,Gutierrez,Napoli,4,8,-4,4,8,-4,10,10
6870,D,Dc,Faye,Cremonese,4,4,0,4,4,0,5,5
487,D,Dd;E,De Silvestri,Bologna,3,4,-1,3,4,-1,9,9
2653,D,Ds;E,Lykogiannis,Bologna,3,5,-2,3,5,-2,13,13
7014,D,Dd;Dc,Smolcic I.,Como,3,2,1,3,2,1,11,11
5449,D,E,Parisi,Fiorentina,3,5,-2,3,4,-1,9,9
6411,D,Dc,Mateus Lusuardi,Pisa,3,4,-1,3,4,-1,5,5
6211,D,Ds;E,Zemura,Udinese,3,3,0,3,3,0,8,8
7202,D,Dc,Ndiaye,Parma,3,4,-1,3,4,-1,8,8
7219,D,E,Bernasconi,Atalanta,3,1,2,3,1,2,10,10
7235,D,Dc,Troilo,Parma,3,6,-3,3,6,-3,11,11
5168,D,Ds;E,Tsimikas,Roma,3,4,-1,3,4,-1,10,10
6351,D,Dd;Ds;E,Lamptey,Fiorentina,3,4,-1,3,5,-2,5,5
5156,D,Ds;E,Nkounkou,Torino,3,3,0,3,3,0,8,8
6665,D,Dd;Ds;E,Coulibaly W.,Sassuolo,3,3,0,3,4,-1,4,6
2640,D,B;Ds;E,Kolasinac,Atalanta,2,7,-5,2,7,-5,12,14
5498,D,Dc,Casale,Bologna,2,4,-2,2,4,-2,8,8
5406,D,Dd;E,Di Pardo,Cagliari,2,2,0,2,2,0,4,4
6896,D,Dd;E,Van Der Brempt,Como,2,4,-2,2,4,-2,7,7
5435,D,Ds;E,Moreno Alb.,Como,2,3,-1,2,3,-1,8,8
1891,D,Dd;Dc,Ceccherini,Cremonese,2,4,-2,2,4,-2,8,10
5718,D,Dc,Viti,Fiorentina,2,4,-2,2,4,-2,7,7
6660,D,Dc,Marcandalli,Genoa,2,3,-1,2,3,-1,4,4
791,D,Dd;Ds;E,Sabelli,Genoa,2,5,-3,2,5,-3,9,10
294,D,Dc,Rugani,Juventus,2,3,-1,2,3,-1,10,10
7136,D,Dd;Dc,Kouassi,Lecce,2,4,-2,2,5,-3,6,6
5481,D,Dd;Ds;E,Mazzocchi,Napoli,2,3,-1,2,3,-1,3,5
6965,D,Ds;E,Lovik,Parma,2,2,0,2,2,0,11,11
2279,D,Dc,Romagna,Sassuolo,2,4,-2,2,4,-2,8,8
49,D,B;Ds;E,Masina,Torino,2,3,-1,2,4,-2,8,10
6925,D,Dc,Palma,Udinese,2,1,1,2,1,1,4,4
7222,D,Dd;Ds;E,Cham,Verona,2,1,1,2,1,1,4,4
7238,D,Dc,Kouadio,Fiorentina,2,1,1,2,1,1,1,1
7260,D,Dc,Ziolkowski,Roma,2,3,-1,2,3,-1,8,8
7274,D,Dc,Zè Pedro,Cagliari,2,4,-2,2,4,-2,8,8
6230,D,Dc,Dossena,Como,1,4,-3,1,4,-3,5,5
418,D,Dc,Goldaniga,Como,1,4,-3,1,4,-3,6,6
2847,D,Dd;Ds;E,Sernicola,Cremonese,1,1,0,1,1,0,1,1
6977,D,Dc,Otoa,Genoa,1,2,-1,1,2,-1,3,3
2525,D,B;Dd;E,Darmian,Inter,1,4,-3,1,5,-4,10,12
6803,D,Ds;E,Rouhi,Juventus,1,1,0,1,1,0,4,4
5899,D,Dc,Gigot,Lazio,1,4,-3,1,4,-3,3,3
327,D,Dd;Dc,Patric,Lazio,1,4,-3,1,4,-3,5,6
140,D,Dd;Ds;E,Hysaj,Lazio,1,3,-2,1,3,-2,8,8
6883,D,Dc,Jean,Lecce,1,3,-2,1,3,-2,3,3
7164,D,Dd;Dc,Perez M.,Lecce,1,1,0,1,1,0,1,1
7182,D,Ds;E,Ndaba,Lecce,1,1,0,1,1,0,2,2
6809,D,Dc,Marianucci,Napoli,1,3,-2,1,3,-2,5,5
7140,D,Dc,Coppola F.,Pisa,1,1,0,1,1,0,4,4
7170,D,Dc,Mbambi,Pisa,1,1,0,1,1,0,2,2
7142,D,Dd;E,Esteves T.,Pisa,1,1,0,1,1,0,2,2
7154,D,Dc,Odenthal,Sassuolo,1,3,-2,1,3,-2,7,7
6431,D,Dd;E,Paz Y.,Sassuolo,1,1,0,1,1,0,3,3
7156,D,Ds;E,Pieragnolo,Sassuolo,1,2,-1,1,2,-1,3,3
6041,D,Dc,Schuurs,Torino,1,3,-2,1,3,-2,5,5
6826,D,Dd;E,Dembelè A.,Torino,1,1,0,1,1,0,2,2
6900,D,E,Rui Modesto,Udinese,1,3,-2,2,2,0,5,3
6631,D,Dc,Ghilardi,Roma,1,4,-3,1,4,-3,9,9
7011,D,Dc,Slotsager,Verona,1,2,-1,1,2,-1,5,5
5994,D,Ds;Dc,Ebosse,Verona,1,4,-3,1,5,-4,7,9
6992,D,B;Dd;E,Oyegoke,Verona,1,2,-1,1,2,-1,4,5
7196,D,Dc,Denoon,Pisa,1,2,-1,1,2,-1,4,4
7240,D,Dc,Siebert,Lecce,1,5,-4,1,5,-4,7,7
7268,D,Ds;Dc,Rodriguez Ju.,Cagliari,1,1,0,1,1,0,1,1
7271,D,Dc,Odogu,Milan,1,2,-1,1,2,-1,5,5
6874,D,Dc,Palacios T.,Inter,1,1,0,1,1,0,1,1
